# CUIDADO: HAY MULTIWORDS CON _ Y TERMINOS EN PLURAL
#Word 1	Word 2	Human (mean)
organizar	alojamiento	5.41
mes	hotel	1.81
clase	tipo	8.97
llegada	hotel	6.00
cama	armario	6.72
guardarropa	ropa	8.00
situación	conclusión	4.81
situación	aislamiento	3.88
imparcialidad	interés	5.16
dirección	combinación	2.25
calle	lugar	6.44
calle	avenida	8.88
calle	manzana	6.88
calle	niños	4.94
listín	proximidad	2.56
listín	categoría	6.38
móvil	teléfono	7.81
producción	excursión	1.75
referencia	índice	4.25
medios	comercio	3.88
medios	ganancia	2.88
dividendo	pago	7.63
dividendo	cálculo	6.48
cálculo	cómputo	8.44
divisas	mercado	7.50
OPEC	petróleo	8.59
petróleo	existencias	6.34
declaración	producción	3.38
declaración	aviso	6.00
beneficio	aviso	3.88
beneficio	pérdida	7.63
dólar	yen	7.78
dólar	dólar	9.22
dólar	ganancia	7.38
dólar	pérdida	6.09
ordenador	software	8.50
red	hardware	8.31
teléfono	equipamiento	7.13
equipamiento	constructor	5.91
lujo	coche	6.47
cinco	mes	3.38
informe	ganancia	3.63
inversor	ingreso	7.13
líquido	agua	7.89
béisbol	temporada	5.97
juego	victoria	7.03
juego	equipo	7.69
maratón	sprint	7.47
juego	series	6.19
juego	derrota	6.97
siete	series	3.56
marisco	mar	7.47
marisco	comida	8.34
marisco	langosta	8.70
langosta	comida	7.81
langosta	vino	5.70
comida	preparación	6.22
vídeo	archivo	6.34
comienzo	año	4.06
comienzo	partido	4.47
juego	vuelta	5.97
boxeo	asalto	7.61
campeonato	campeonato	8.36
pelea	derrota	7.41
línea	seguro	2.69
día	verano	3.94
verano	sequía	7.16
verano	naturaleza	5.63
día	amanecer	7.53
naturaleza	medio_ambiente	8.31
medio_ambiente	ecología	8.81
naturaleza	hombre	6.25
hombre	mujer	8.30
hombre	gobernador	5.25
asesinato	homicidio	8.53
serie	ópera	7.94
ópera	representación	6.88
vida	lección	5.94
foco	vida	4.06
producción	equipo	6.25
televisión	película	7.72
amante	bronca	6.19
visor	consecutivo	2.97
posibilidad	chica	1.94
población	desarrollo	3.75
moral	importancia	3.31
moral	boda	3.69
México	Brasil	7.44
género	igualdad	6.41
cambio	actitud	5.44
familia	planificación	6.25
ópera	industria	2.63
azúcar	acercamiento	0.88
práctica	institución	3.19
ministerio	cultura	4.69
problema	desafío	6.75
tamaño	prominencia	5.31
país	ciudadano	7.31
planeta	gente	5.75
desarrollo	tema	3.97
experiencia	música	3.47
música	proyecto	3.63
vaso	metal	5.56
aluminio	metal	7.83
azar	credibilidad	3.88
exposición	recuerdos	5.31
concierto	virtuoso	6.81
rock	jazz	7.59
museo	teatro	7.19
observar	arquitectura	4.38
espacio	mundo	6.53
conservación	mundo	6.19
admisión	entrada	7.69
chaparrón	tormenta	6.31
chaparrón	inundación	6.03
tiempo	predicción	8.34
desastre	área	6.25
gobernador	oficina	6.34
arquitectura	siglo	3.78
