main-forum	deft-forum	2014	0336	2.8	Put a Little Love in your Heart We are all vessels filled with many wonders.	Landon And So This is Christmas We are all vessels filled with many wonders.
main-captions	images	2014	0055	3.8	Black cow walking under trees in pasture.	Cow walking under the tree in a pasture.
main-forum	deft-forum	2014	0099	3.6	Commodity Expanded Value-Form, .	Elementary Commodity-Capital Value-Form .
newswiretxt	NA	2017	80	0.8	Las manifestaciones y protestas se sucedieron hoy intermitentemente en todo Israel, en centros universitarios, cruces de carreteras y poblados árabes, extendiéndose por la tarde a decenas de poblados.	Las concentraciones se sucedieron en Reine, Kfar Kana, Shaab, Kfar Kasem, así como en cruces neurálgicos de la Galilea.
main-news	headlines	2013	0414	0.4	Obama praises U.S.-Latin America trade ties	Obama Secret Service agents sent home
newswiretxt	NA	2017	418	2	Según el Ejército de EEUU, "aviones de la coalición llevaron adelante ayer de noche una serie de ataques aéreos en Irak contra lo que se cree que era un encuentro de dirigentes del ISIS cerca de Mosul", la segunda ciudad del país, ubicada en el norte y bajo control del grupo de radicales islamistas.	"Puedo confirmar que aviones de la coalición realizaron una serie de ataques aéreos ayer por la noche en Irak contra lo que fue evaluado como una reunión de líderes de ISIL cerca de Mosul", comentó Ryder, que usó un acrónimo para Estado Islámico.
main-news	headlines	2014	0282	3	Iran nuke talks begin amid hopes of progress	Iran nuclear talks start in Geneva
main-forum	deft-forum	2014	0233	3.2	If I'm angry, it will show up in one of those scans..	If I'm hyper active, it will show up in one of those scans..
main-captions	MSRvid	2012train	0486	1.200	A woman is slicing an onion.	A man is shown slicing a carrot with a knife.
main-captions	images	2014	0277	1.8	A passenger jet sits on a runway.	A large passenger jet flying close to the ground.
main-captions	MSRvid	2012test	0574	2.000	A girl is making eyelid.	A woman is applying eyeshadow.
main-news	MSRpar	2012test	0138	5.000	But software license revenues, a measure financial analysts watch closely, decreased 21 percent to $107.6 million.	License sales, a key measure of demand, fell 21 percent to $107.6 million.
main-news	MSRpar	2012test	0701	2.000	The 30-year bond US30YT=RR grew 1-3/32 for a yield of 4.30 percent, down from 4.35 percent late Wednesday.	At 11 a.m. (1500 GMT), the 10-year note US10YT=RR was up 11/32 for a yield of 3.36 percent from 3.40 percent Wednesday.
main-news	deft-news	2014	0298	0.8	6 czech hospital employees are charged with human organ trafficking. 	the accused will be charged with international drug trafficking.
newstxt	NA	2017	96	2.4	La CE, a través de su portavoz Pia Ahrenkilde, subrayó hoy que "el mensaje es muy claro: La libertad de movimientos de personas es una libertad sagrada en la UE, y es una de las cuatro que defendemos".	"El mensaje es muy claro: la libertad de movimientos de personas es un libertad sagrada en la UE, y es una de las cuatro que defendemos", dijo la portavoz de la CE Pia Ahrenkilde en una conferencia de prensa, en referencia a las libertades que la UE considera fundamentales para su mercado interior: la de movimientos de personas, de capitales, mercancías y servicios.
main-news	MSRpar	2012test	0088	2.200	Also missing is Al Larsen, 31, of Fort Worth, Texas, who was in another vehicle swept off the turnpike.	The other victim recovered Tuesday morning was Al Larsen, 31, of Fort Worth, Texas.
main-captions	MSRvid	2012test	0269	2.750	A woman is adding spices on a meat.	Woman is adding sugar to meat.
main-news	headlines	2015	1036	2.60	Ukrainian protesters back in streets for anti-government rally	Ukraine protesters topple Lenin statue in Kiev
main-news	deft-news	2014	0279	3.6	executive director of the arms control association in washington daryl kimball stated that-- the iaea report is 1 in a series of bad signs. 	executive director of the arms control association in washington daryl kimball stated the israeli document could affect the debate over india.
main-captions	MSRvid	2012test	0361	0.400	The man is driving a white car.	A man is giving an interview.
main-news	headlines	2014	0075	0.2	6.9 magnitude earthquake hits New Zealand	5.6 magnitude earthquake shakes Iran
newstxt	NA	2017	331	1	Barazi y voluntarios de la Media Luna Roja están trabajando para extender la operación más allá de este domingo, el último día del cese al fuego acordado para la ciudad entre las fuerzas militares y los combatientes.	Un ataque con proyectiles y disparos contra varios vehículos de la Media Luna Roja, además de otros problemas logísticos, frustró las esperanzas de los vecinos.
main-news	MSRpar	2012train	0587	4.000	"We believe that it is not necessary to have a divisive confirmation fight over a Supreme Court appointment," Daschle wrote.	"We believe that it is not necessary to have a divisive confirmation fight," Daschle of South Dakota wrote the Republican president.
newswiretxt	NA	2017	246	2.4	Mujeres indias que se sometieron a cirugías de esterilización reciben tratamiento en el hospital CIMS en Bilaspur, en el estado central indio de Chhattisgarh, este martes.	Doce mujeres murieron en India, tras ser esterilizadas en un hospital de Bilaspur en el estado de Chhattisgarh.
main-news	MSRpar	2012train	0530	0.750	The technology-laced Nasdaq Composite Index .IXIC fell 23.54 points, or 1.42 percent, to 1,630.08.	The broader Standard & Poor's 500 Index .SPX gave up 11.91 points, or 1.19 percent, at 986.60.
main-captions	MSRvid	2012test	0350	0.600	A woman is frying something.	A woman is riding a horse.
main-captions	images	2015	0488	0.40	A boy in black waves his arms while other people are behind him on a field.	a man in a black shirt is roller blading past a bench in the city.
main-captions	images	2015	1178	4.20	A dog digging in the sand.	A brown dog digs in the sand.
main-captions	MSRvid	2012train	0516	3.500	A large bird standing on a table picks up a plastic glass containing liquid and places it in a bowl of something.	A bird picks up a plastic cup containing a liquid with it's beak and puts the cup into a bowl.
main-captions	MSRvid	2012test	0670	4.000	The rhino grazed on the grass.	A rhino is grazing in a field.
newswiretxt	NA	2017	187	1	En la noche del miércoles, la Organización para la Seguridad y la Cooperación en Europa informó que la semana pasado cruzaron la frontera ruso-ucraniana en ambas direcciones 665 personas con indumentaria militar.	Antes de la reunión, el secretario general de la Organización para la Seguridad y la Cooperación en Europa , Lamberto Zannier, reconoció que el alto el fuego era cada vez más virtual y que la llegada de armas a la zona rebelde podía “llevar a una confrontación más abierta”.
main-news	headlines	2015	0286	4.00	China launches probe and rover to moon	China launches first moon rover mission
main-captions	MSRvid	2012train	0445	0.400	A cat is playing with an antenna.	A boy is playing in the mud.
main-captions	MSRvid	2012train	0071	0.200	A man is smoking.	A man is mixing.
main-news	headlines	2014	0142	4.6	In shock move, Obama puts Syria strike on hold	Obama puts Syria strike on hold
main-news	MSRpar	2012train	0438	3.400	Five-time Tour de France winner and cancer survivor Lance Armstrong had a few words of advice for other cancer survivors in Denver on Friday.	Five-time Tour de France winner Lance Armstrong is in Denver today for a meeting about surviving cancer.
main-captions	MSRvid	2012train	0581	2.200	Several ferrets climb out of their cage.	Ferrets climb down from a shelf.
main-news	headlines	2014	0045	4	Bradley Cooper and JJ Abrams in talks about filming a Lance Armstrong biopic	Bradley Cooper in talks to play Lance Armstrong in biopic
main-news	headlines	2015	1168	0.60	17:02 23 killed in Iraq car bombings	11 children killed in Syria bombings
main-news	headlines	2013	0215	0.8	Two Kenyan ministers among 6 killed in plane crash	Poland honors president killed in 2010 plane crash
main-captions	MSRvid	2012train	0602	0.000	A man is cutting grass.	A masked man sings.
main-captions	images	2015	0905	1.20	The black and white dog has a stick in his paws.	A black dog and a white dog are standing on snow.
main-news	deft-news	2014	0078	2	cambodia and vietnam finalized an agreement to stop asian and european drug traffickers. 	syrian and russian officials signed an agreement of cooperation in combating drug trafficking.
wikipediatxt	NA	2017	66	3	La "Congregación Cristiana de los Testigos de Jehová" (más conocida por el nombre de sus integrantes: "Testigos de Jehová") es una confesión religiosa con sede central en Brooklyn, Warwick y Wallkill, en el estado de Nueva York (Estados Unidos) fundada por Charles Taze Russell en 1878.	La organización de los testigos de Jehová (y la Sociedad Watchtower, principal entidad legal que utilizan) tiene su sede central en Brooklyn, Nueva York (Estados Unidos) desde donde su Cuerpo Gobernante supervisa la obra mundial.
main-news	MSRpar	2012test	0281	2.250	The Dow Jones industrial average <.DJI> added 28 points, or 0.27 percent, at 10,557, hitting its highest level in 21 months.	The Dow Jones industrial average <.DJI> rose 49 points, or 0.47 percent, to 10,578.
main-captions	images	2014	0138	1.6	A black and white photo of an empty train station.	a black and white photo of a cat lying down.
main-news	headlines	2014	0439	2.2	Pakistani Taliban names new leader after drone strike	Pakistani Taleban chief killed in US drone strike
main-forum	deft-forum	2014	0056	4.5	Ah ha, ha, ha, ha, ha!	Ha, ha, ha, ha, ha, ha!
main-news	MSRpar	2012test	0619	3.250	"He really left us with a smile on his face and no last words," daughter Linda Hope said.	"He really left us with a smile on his face and no last words ... He gave us each a kiss and that was it," she said.
main-news	headlines	2015	1032	2.00	6.3-magnitude quake hits Honshu, Japan: CENC	6.7-magnitude earthquake jolts Taiwan: CENC
main-news	MSRpar	2012test	0272	3.400	"I don't know if the person I'm talking to now may end up being someone else at another time that may not follow the rules," Parrish said.	"I don't know whether the person I'm talking to now may end up being someone else," Parrish said.
newswiretxt	NA	2017	35	2.2	El magma comenzó a fluir en junio y entró a Pahoa, el poblado más grande de la Gran Isla y al distrito agrícola de Puna, el 26 de octubre.	Medios locales aseguraron que el volcán Kilauea inició a expulsar lava en junio pasado, la cual arribó al distrito Pahoa hasta el 26 de octubre.
wikipediatxt	NA	2017	245	1.8	El "presidente de la República de Chile" es el jefe de Estado y de Gobierno de Chile y su máxima autoridad política.	Desde el 11 de marzo de 2010, el presidente de la República de Chile es Sebastián Piñera.
main-news	headlines	2013	0386	2.2	Red Cross worker killed in Pakistan	Kidnapped UK aid worker killed in Pakistan
main-captions	images	2015	0572	0.00	Two people are racing a sidecar motorcycle in the mud.	The dog carrying a long stick in its mouth.
main-news	MSRpar	2012train	0242	3.000	The army said the raid, which comes just days after Israeli troops shot and killed Abdullah Kawasme, the Hamas leader in the city, targeted militants in Hamas.	The arrests came just days after Israeli troops shot and killed Abdullah Kawasme, the militant group's leader in Hebron.
newswiretxt	NA	2017	497	2.2	Los firmantes han indicado que "todas estas graves denuncias se producen a menos de un año de que entrara en vigor la Ley Especial para Prevenir y Sancionar la Tortura y otros Tratos o Penas Crueles, Inhumanos o Degradantes en Venezuela".	Así, han exhortado a Venezuela "a extender una invitación al relator de la ONU contra la Tortura y a ratificar el Protocolo Facultativo de la Convención contra la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes".
main-captions	MSRvid	2012test	0505	2.250	People ride and paddle a raft.	Four people are floating on a raft.
wikipediatxt	NA	2017	4	2.2	La "universidad de Uppsala" (en sueco: "Uppsala universitet") es una universidad ubicada en la ciudad de Uppsala, Suecia, y es la casa de estudios más antigua de Escandinavia, habiendo sido fundada en 1477.	La Universidad de Uppsala constantemente es considerada como una de las universidades más prestigiosas de Europa y del país.
main-news	MSRpar	2012train	0081	3.400	The latest snapshot of the labor markets was slightly better than economists were expecting; they were forecasting claims to fall no lower than 410,000 for last week.	Despite problems in the job market, the latest snapshot of the labor markets was slightly better than economists were expecting.
main-captions	images	2015	1159	1.80	A little boy is standing in front of a wedding party laughing.	A person standing on a stage in front of a seated crowd
main-news	headlines	2014	0193	0	Former LAPD officer sought in Irvine slayings	Former CIA officer sentenced to 30 months in prison for info leak
newswiretxt	NA	2017	156	3.8	mentos de la Marina detuvieron este miércoles a Ismael Zambada Imperial, el Mayo Gordo, uno de los hijos de Ismael el Mayo Zambada García, quien es uno de los líderes del Cártel de Sinaloa en el norte de México.	Las autoridades mexicanas han detenido en el noroeste del país a Ismael Zambada Imperial, alias el Mayito Gordo, uno de los hijos del líder del cártel de Sinaloa, Ismael "el Mayo" Zambada, según han informado este jueves fuentes oficiales.
newstxt	NA	2017	151	3.2	Nueva York, 7 feb .- El Departamento de Policía de Nueva York comenzó a probar las Google Glass con el fin de ayudar a los agentes a disponer rápidamente de información sobre sospechosos, gracias a las técnicas de reconocimiento facial, según confirmó hoy el responsable del cuerpo.	El Departamento de Policía de Nueva York solicitó y recibió varios pares de los lentes de realidad aumentada de Google, y los está probando para patrullar las calles, según informó el sitio especializado VentureBeat.
wikipediatxt	NA	2017	125	2.4	"Ponferrada" es un municipio y ciudad de España, capital de la comarca de El Bierzo, en la provincia de León, comunidad autónoma de Castilla y León.	La ciudad de Ponferrada es la sexta ciudad más poblada de Castilla y León, superando en número de habitantes a cuatro capitales de provincia y al resto de municipios de la Comunidad Autónoma.
main-news	headlines	2015	0336	3.40	Death Toll in Bangladesh Collapse at 194	At least 200 killed in Bangladesh building collapse
main-news	headlines	2013	0345	3.6	Russians rally support for Orthodox church over Pussy Riot controversy	Russian Orthodox Church rallies faithful after criticism
main-forum	deft-forum	2014	0311	3	Joy to the World We are all vessels filled with many wonders.	The theme song to Cheers: We are all vessels filled with many wonders.
newstxt	NA	2017	400	2.8	Además de Jiang Zemin y Li Pegn, las órdenes de detención serían contra el ex jefe de seguridad de China Qiao Shi; el dirigente del Partido Comunista Chino en el Tíbet Chen Kuiyuan; y la ex ministra de Planificación Familiar Peng Peiyun.	Además de al ex presidente chino, el juez Moreno ordenó la busca y captura a través de Interpol del ex primer ministro Li Peng, del ex jefe de la seguridad china Qiao Shi; del ex secretario del Partido Comunista de China en el Tíbet Chen Kuiyuan, y de la ex ministra de Planificación Familiar Peng Peiyun.
main-news	headlines	2013	0610	3.8	4 foreign soldiers killed in Afghan east	4 French Soldiers Reported Killed in Afghanistan
main-captions	images	2015	1488	2.00	Dog running towards camera with a ball in its mouth.	The black and white dog swims with a brown object in its mouth.
main-news	deft-news	2014	0111	4.4	zhang stated-- china opposes restricting the peaceful use of nuclear energy by non-nuclear-weapon states on the basis of non-proliferation because the peaceful use of nuclear energy is a crucial objective of the npt. 	zhang yan stated that china opposes using non-proliferation as a pretext for restricting and depriving non-nuclear-weapon states of the right to peaceful use of nuclear energy.
main-captions	MSRvid	2012test	0494	3.800	A woman is resting in a floating raft.	A woman relaxes in an inner tube.
main-captions	MSRvid	2012train	0657	0.750	A man is meditating.	The man is riding the horse.
main-news	headlines	2014	0737	2.6	Obama pledges to reignite economy	Obama to press Congress to act on economy
main-captions	images	2015	1163	3.60	A person on a snowmobile.	A person on a snowmobile in mid jump.
newstxt	NA	2017	365	4	El ministro ruso de Finanzas, Anton Siluanov, anunció ayer que el Kremlin no reanudará el rescate de la economía ucraniana hasta que Kiev salde sus deudas por el suministro de gas natural en 2013.	El ministro ruso de Finanzas, Antón Siluánov , aseguró el sábado que Moscú reanudará el rescate a la economía de Ucrania cuando este país salde sus deudas por el suministro de gas natural en 2013.
main-forum	deft-forum	2014	0057	3.4	And that's why you're yelling at me and refusing to answer my questions?	Still refusing to answer my questions?
main-captions	MSRvid	2012train	0180	0.200	A person is making a bed.	A person is eating at a table.
main-news	MSRpar	2012test	0338	2.800	Staff writers Selwyn Crawford and Colleen McCain Nelson and Brian Anderson of DallasNews.com contributed to this report.	Staff writers Brandon Formby and Colleen McCain Nelson contributed to this report.
main-news	headlines	2015	0858	3.80	Conmen dressed as women steal cash	CCTV: York conmen dress as women to trick pensioners
main-captions	MSRvid	2012test	0081	1.556	A man is playing the guitar.	A man is playing the drums.
main-captions	images	2015	1316	5.00	Woman in red overalls standing on the sidewalk.	A woman in red overalls stands on sidewalk.
main-captions	MSRvid	2012train	0381	1.667	A man and woman are Bollywood dancing.	A man an woman are dancing in the rain.
main-captions	MSRvid	2012test	0205	0.000	A woman is dancing.	A man is talking.
main-captions	MSRvid	2012train	0543	0.000	A man is playing guitar.	Smeone is laying down.
main-news	headlines	2015	0406	1.00	Syrian war seen dragging on for years	Syria regime releases hundreds of prisoners
wikipediatxt	NA	2017	238	1.4	La "gastronomía de Vietnam" es conocida por su uso generalizado de la salsa de pescado, salsa de soja y la salsa hoisin (su olor proporciona un carácter único a la cocina).	La cocina de la parte central del Vietnam ha sido influenciada por la colonización de diferentes culturas.
main-captions	images	2014	0737	4	A baby holds a ketchup packet.	A baby in a highchair holds a ketchup packet.
newswiretxt	NA	2017	210	3.6	Además se descartó la sobredosis como causa de la muerte, pues según el parte oficial “los exámenes toxicológicos revelaron la ausiencia de alcohol o drogas”.	La oficina del sheriff de Marin indicó en un comunicado que, al realizar la autopsia a Robin Williams, los exámenes toxicológicos arrojaron la ausencia de alcohol o drogas ilícitas pero sí detectaron restos de fármacos de receta en concentraciones terapéuticas.
newstxt	NA	2017	290	0.2	Diario de León - ‎hace 30 minutos‎ El presidente de Extremadura, José Antonio Monago, sigue abanderando la oposición a la reforma de la ley del aborto dentro del PP.	El programa de La Sexta emite un vídeo irónico de dirigentes del PP usando Google Glass.
wikipediatxt	NA	2017	51	0.4	"Raasay" ("Ratharsair" en gaélico escocés), es una isla ubicada entre Escocia y la la isla de Skye	"Clodomira" es una ciudad del Departamento Banda al noreste de Santiago del Estero, ubicada a 20 km de la ciudad capital provincial, Argentina.
main-captions	images	2015	0077	2.60	Three dogs playing in the snow.	Three dogs are playing in the water.
main-captions	MSRvid	2012test	0747	0.000	A person is slicing an onion.	A cat is pooping into a toilet.
main-news	MSRpar	2012train	0065	3.250	"I felt that if I disagreed with Rosie too much I would lose my job," she said.	Cavender did say: "I felt that if I disagreed with Rosie too much I would lose my job."
main-news	MSRpar	2012train	0342	2.000	The technology-packed Nasdaq Composite Index <.IXIC> dropped 37.78 points, or 1.94 percent, to 1,912.36.	The Nasdaq composite index fell 2.95, or 0.2 percent, for the week to 1,912.36 after stumbling 37.78 yesterday.
main-news	MSRpar	2012test	0380	3.400	Among three major candidates, Schwarzenegger is wining the battle for independents and crossover voters.	Schwarzenegger picks up more independents and crossover voters than Bustamante.
main-news	deft-news	2014	0162	4	egypt and jordan have signed the nuclear nonproliferation treaty and have long called for a middle east free of weapons of mass destruction. 	syria has signed the nuclear nonproliferation treaty and has allowed agency experts to inspect its only known nuclear facility.
main-captions	MSRvid	2012train	0197	3.200	Someone is slicing a tomato.	Someone is slicing fruit.
main-news	MSRpar	2012test	0334	1.500	Standing with reporters and photographers about 150 yards from the prison gates was Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association.	"The whole thing is a travesty," fumed Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association.
newswiretxt	NA	2017	131	3.4	Ismael Zambada Imperial, alias “El Mayito Gordo” o “El Mayo Gordo”, hijo del capo Ismael “El Mayo” Zambada, fue capturado ayer por elementos de la Marina en El Salado, Sinaloa, junto con dos presuntos cómplices.	Ismael Zambada Imperial, conocido como 'El Mayito Gordo', hijo de 'El Mayo' Zambada, fue aprehendido este miércoles en el poblado La Estancia de los Burgos, dentro de la zona de El Salado, en Culiacán, Sinaloa.
main-captions	images	2015	0580	0.00	A man standing on a boat is pulling another boat close by with a bamboo stick.	a man in a black hat standing in front of a brick wall and a sign
main-news	MSRpar	2012test	0027	2.500	The Standard Edition is $15,000 per processor or $300 per named user.	The Standard Edition One is a single processor version of the Oracle Standard Edition Database.
newswiretxt	NA	2017	73	1.6	El protocolo de Minsk fue firmado por los representantes de Ucrania, Rusia, y las autoproclamadas repúblicas populares de Donetsk y Lugansk bajo los auspicios de la OSCE.	"Cualquier intento de arreglar el conflicto sin la participación de las repúblicas populares de Donetsk y Lugansk será inútil y llevará inexorablemente el proceso negociador a un callejón sin salida", dijo Denís Pushilin, negociador de la autoproclamada república popular de Donetsk.
main-news	deft-news	2014	0212	5	russia ratified the amended version of the treaty. 	russia ratified the amended treaty.
main-news	headlines	2013	0557	1.2	Syrian Arab Republic (the): Syrian Arab Republic: Syrian Refugees (as of 28 June 2012)	Syrian Arab Republic (the): More than 70 killed in Syria ahead of Annan return
main-captions	images	2015	0782	0.40	A young boy is riding a bike.	A young girl laying on a blue inflatable toy
main-news	headlines	2013	0542	1.2	Ryanair in new bid for Aer Lingus	Ryanair chief hails report findings
main-news	headlines	2014	0062	2	Yemen suicide bombing kills soldiers	Female suicide bomber kills 16 at Russian station
main-captions	images	2014	0325	2.6	A group of horses grazing in a field.	A brown horse grazing in a field of green grass.
main-captions	MSRvid	2012test	0349	0.600	A man is kicking a soccer ball.	A man is mixing a bowl.
main-news	MSRpar	2012test	0314	3.500	Founded in 1996, the LendingTree exchange consists of more than 200 banks, lenders, and brokers.	LendingTree matches borrowers via the Internet with more than 200 mortgage brokers, banks and other lenders.
newswiretxt	NA	2017	232	3.6	Aunque con 425 millones de fieles, América Latina contiene el 40% de la población católica del mundo, cada vez son más los cristianos que se dicen protestantes.	América Latina posee más de 425 millones de católicos que representan casi el 40% de la población católica en todo el mundo, pero el número de fieles que busca otra denominación aumenta sostenidamente, en su mayoría en denominaciones protestantes.
main-news	headlines	2014	0681	4	Hollande 'threatens legal action' after affair allegations	François Hollande threatens legal action over affair claims
main-news	headlines	2013	0647	2.6	Syrian forces bombard Homs, Russia warns of civil war	Syrian forces bombard Homs, Lavrov arrives for talks
main-captions	images	2015	1068	4.40	A girl jumping rope on a sidewalk near a parking garage.	A girl jumping rope on a sidewalk with a parking garage to the left.
main-forum	deft-forum	2014	0030	4.8	I wood have asked her if she is up for a treesome.	I wood have at least asked if a threesome was out of the question.
main-captions	images	2014	0731	2.6	Three cows grazing in a field.	Two cows graze in a field.
newstxt	NA	2017	445	1.8	El ministro ruso del Interior, Vladímir Kolokóltsev, se personó en el lugar de los hechos por los que la Fiscalía General incoó tres proceso penales: por toma de rehenes, asesinato e intento de asesinato de agente de la policía.	De momento se ha abierto una investigación por toma de rehenes, asesinato y ataque a la vida de miembros de las fuerzas de seguridad.
main-news	headlines	2013	0599	1.4	Two killed, 19 injured in Toronto shooting	Two dead, 7 injured in Finland shooting
newswiretxt	NA	2017	399	1.6	El papa siempre ha mostrado una gran atención por estas personas que duermen bajo las columnas de San Pedro y en los alrededores, y manda a Krajewski a que les de dinero y artículos de primera necesidad como comida y mantas.	El papa autorizó la construcción de las tres duchas en el interior de los baños que normalmente usan los peregrinos.
main-news	headlines	2015	0777	4.40	Supreme Court takes on affirmative action in Michigan ban case	Supreme Court to hear Michigan affirmative action case
main-news	headlines	2015	0903	4.40	KL shares remain higher mid-afternoon	KL shares continue uptrend mid-afternoon
wikipediatxt	NA	2017	247	3	"Time 100" es una lista de las 100 personas más influyentes según la revista Time.	La primera lista fue publicada en 1999 con las 100 personas más influyentes del siglo 20.
main-news	MSRpar	2012train	0048	3.750	Critics say the law violates civil liberties, something House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to.	House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to civil liberties complaints.
main-news	headlines	2015	0016	1.20	Israel PM accuses Iran president of hypocrisy	Greek PM accuses coalition of hypocrisy
main-captions	images	2014	0405	3	A black and tan dog looks at a black sheep.	A black dog looking at a brown sheep in a pen.
main-news	headlines	2015	0525	0.40	Russian lawmakers pass new bill restricting Internet	Russia says ballistic 'objects' fired in Mediterranean
main-news	MSRpar	2012test	0182	3.500	"It was brazen intimidation to keep people on the reservation," said a Republican who attended but did not want to be named.	"It was a brazen attempt at intimidation," said a Republican legislator who attended the meeting.
main-captions	images	2015	1397	3.20	A brown dog is jumping up to catch a green strap in it's mouth.	A grey dog jumps to bite a green leash.
main-captions	images	2015	0764	4.00	A skateboarder attempts a trick on the side of a low wall.	A boy does skateboard tricks on a railing.
main-news	MSRpar	2012test	0543	3.800	Nick Markakis, a left-hander from Young Harris Junior College in Georgia, went to the Orioles with the seventh pick.	Next, Baltimore took Nick Markakis, a left-handed pitcher and outfielder from Young Harris Junior College in Georgia.
main-news	MSRpar	2012train	0570	3.000	A spokeswoman at Strong Memorial Hospital said Doud was in satisfactory condition Tuesday night.	A spokesman at Strong Memorial Hospital said Doud was under evaluation Tuesday evening in the emergency room.
main-news	headlines	2013	0477	4.2	South Africa police shot dead 30 miners	South Africa police say they killed 30+ miners
wikipediatxt	NA	2017	170	1.8	"Bodies Without Organs" o "BWO" es un grupo dance de Suecia formado en 2004 por Alexander Bard, Marina Schiptjenko y Martin Rolinski como vocalista.	Está formado por "Alexander Bard" (ex componente de los Army of Lovers), "Marina Schiptjenko" y "Martin Rolinski", éste último elegido por los dos primeros tras un casting en el cual Martin les pareció el candidato perfecto.
main-captions	images	2014	0342	3.2	Boy with glasses typing on a computer.	A boy looking at a computer screen.
main-captions	MSRvid	2012train	0056	4.000	A cat is drinking milk.	A kitten is drinking milk.
main-news	deft-news	2014	0116	3.4	opium is the raw ingredient for heroin. 	the poppies yielded the raw ingredient for heroin.
wikipediatxt	NA	2017	204	2.4	La tradición comenzó en el siglo IV, pero la mayoría datan de la época vikinga, y se continuó hasta el siglo XII.	La tradición de erigir piedras con inscripciones rúnicas aparece por primera vez entre el siglo IV y el siglo V en Noruega y Suecia, estas primeras piedras rúnicas están habitualmente situadas junto a tumbas.
main-news	headlines	2013	0070	4.2	Navy Jet Crashes Into Apartment Building	US Navy Jet Crashes into Apartment Block
main-captions	images	2014	0180	4.2	Sail boat sailing on the water.	Sail boat floating on the blue water.
newstxt	NA	2017	444	3.8	Al llegar al pequeño atolón al sur de las islas Marshall, Albarengo, que no habla inglés, se comunicó mediante dibujos y gestos con la alcaldesa del lugar, explicando que sobrevivió comiendo tortugas, aves y peces que atrapaba con sus manos y se hidrataba con la sangre de las tortugas cuando no llovía.	Como no hablaba inglés, el náufrago se comunicó mediante dibujos y gestos con la alcaldesa del lugar, explicando como mejor pudo que sobrevivió comiendo tortugas, aves y peces que atrapaba con sus manos, y que bebía la sangre de las tortugas cuando no llovía.
